,City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
312,Ballina,-28.8667,153.5667,AU,1657899824,51.01,95,8,95
313,Kosice,48.6667,21.3333,SK,1657899825,75.69,37,0,37
314,Riyadh,24.6877,46.7219,SA,1657899813,105.94,7,100,7
315,Verkhnevilyuysk,63.4453,120.3167,RU,1657899825,62.26,94,60,94
316,Maniitsoq,65.4167,-52.9,GL,1657899825,39.88,93,44,93
317,Lesnoy,57.6198,63.0784,RU,1657899826,63.5,96,93,96
318,Plouzané,48.3833,-4.6167,FR,1657899826,78.85,45,0,45
319,Strezhevoy,60.7333,77.5889,RU,1657899826,60.87,66,94,66
320,Bulgan,48.8125,103.5347,MN,1657899827,52.61,92,100,92
321,Skrunda,56.6833,22.0167,LV,1657899827,56.93,87,78,87
322,Bosaso,11.2842,49.1816,SO,1657899827,93.92,43,92,43
323,Villa San Giovanni,38.2276,15.6386,IT,1657899828,88.43,47,0,47
324,Kharp,66.8014,65.8081,RU,1657899828,67.5,77,98,77
325,Ibrā’,22.6906,58.5334,OM,1657899828,91.65,44,100,44
326,Kahramanmaraş Province,38.0,37.0,TR,1657899829,81.86,26,0,26
327,Smithers,54.7804,-127.1743,CA,1657899829,53.92,100,100,100
328,Aksarka,66.5606,67.7975,RU,1657899829,65.28,62,100,62
329,Khuzdar,27.7384,66.6434,PK,1657899830,78.35,62,100,62
330,Kaili,-3.4626,120.2147,ID,1657899830,65.23,93,100,93
331,Usinsk,65.9939,57.5281,RU,1657899830,79.61,61,75,61
332,Kifrī,34.6959,44.9661,IQ,1657899831,107.92,9,0,9
333,Tokur,53.1333,132.9,RU,1657899831,57.06,97,41,97
334,Santo Domingo,18.5001,-69.9886,DO,1657899724,87.44,70,40,70
335,Camocim,-2.9022,-40.8411,BR,1657899832,88.2,52,49,52
336,Kudymkar,59.0173,54.656,RU,1657899832,66.36,93,80,93
337,Plácido de Castro,-10.3353,-67.1856,BR,1657899832,91.6,43,99,43
338,Itarema,-2.9248,-39.9167,BR,1657899833,86.18,53,55,53
339,Pucallpa,-8.3791,-74.5539,PE,1657899604,86.04,70,40,70
340,Marsh Harbour,26.5412,-77.0636,BS,1657899833,82.67,69,99,69
341,Būlaevo,54.9056,70.4439,KZ,1657899833,67.55,82,4,82
342,Kuytun,54.3419,101.5036,RU,1657899834,50.92,94,100,94
343,Lokosovo,61.1333,74.8167,RU,1657899834,60.3,78,48,78
344,Ejura,7.3856,-1.3562,GH,1657899834,82.85,71,86,71
345,Atambua,-9.1061,124.8925,ID,1657899674,68.16,79,80,79
346,Kirakira,-10.4544,161.9205,SB,1657899835,77.34,86,15,86
347,Narón,43.5167,-8.1528,ES,1657899835,85.55,70,100,70
348,Semiletka,55.3603,54.6153,RU,1657899835,64.92,86,35,86
349,Sibolga,1.7427,98.7792,ID,1657899836,77.81,88,97,88
350,Dubti,11.7361,41.0853,ET,1657899836,98.11,25,30,25
351,Simao,22.7886,100.9748,CN,1657899836,67.6,94,13,94
352,Taltal,-25.4,-70.4833,CL,1657899837,58.28,59,0,59
353,Sakaiminato,35.55,133.2333,JP,1657899837,75.18,88,75,88
354,Yar-Sale,66.8333,70.8333,RU,1657899837,59.09,60,0,60
355,Sola,-13.8833,167.55,VU,1657899838,75.87,94,75,94
356,Husavik,66.0449,-17.3389,IS,1657899838,56.59,58,36,58
357,Choix,26.7092,-108.3219,MX,1657899840,90.39,58,1,58
358,Bay Roberts,47.5999,-53.2648,CA,1657899840,69.66,85,55,85
359,Ponnāni,10.767,75.9252,IN,1657899841,76.32,82,55,82
360,Vostok,46.4856,135.8833,RU,1657899841,56.46,90,100,90
361,Kysyl-Syr,63.8986,122.7617,RU,1657899842,65.61,90,100,90
362,Deputatsky,69.3,139.9,RU,1657899842,54.05,90,92,90
363,Ngerengere,-6.75,38.1167,TZ,1657899842,75.0,57,97,57
364,Faanui,-16.4833,-151.75,PF,1657899842,77.54,61,93,61
365,Puerto Madryn,-42.7692,-65.0385,AR,1657899552,41.63,92,100,92
366,Soponya,47.0149,18.4534,HU,1657899843,81.01,21,79,21
367,Papetoai,-17.4961,-149.8729,PF,1657899843,67.59,59,17,59
368,Gillette,44.2911,-105.5022,US,1657899605,81.1,48,0,48
369,Tacuarembó,-31.7333,-55.9833,UY,1657899724,64.27,91,100,91
370,Xining,36.6167,101.7667,CN,1657899844,59.29,95,100,95
371,Oodweyne,9.4092,45.064,SO,1657899844,75.88,57,96,57
372,Greymouth,-42.4667,171.2,NZ,1657899782,38.19,89,17,89
373,Uch,45.3192,-0.9345,FR,1657899845,88.84,24,97,24
